,ip.dst,ip.src,udp.srcport,udp.dstport,dns.time
337,173.27.225.118,172.31.0.2,53.0,7560.0,0.000342
339,173.27.225.118,172.31.0.2,53.0,6173.0,0.000915
341,173.27.225.118,172.31.0.2,53.0,51589.0,0.00039
343,173.27.225.118,172.31.0.2,53.0,37126.0,0.000412
345,173.27.225.118,172.31.0.2,53.0,14208.0,0.000316
347,173.27.225.118,172.31.0.2,53.0,11588.0,0.000429
349,173.27.225.118,172.31.0.2,53.0,54034.0,0.00039
351,173.27.225.118,172.31.0.2,53.0,27661.0,0.000389
353,173.27.225.118,172.31.0.2,53.0,11096.0,0.000373
355,173.27.225.118,172.31.0.2,53.0,63888.0,0.000323
357,173.27.225.118,172.31.0.2,53.0,7052.0,0.000309
359,173.27.225.118,172.31.0.2,53.0,44552.0,0.000325
361,173.27.225.118,172.31.0.2,53.0,21337.0,0.000791
363,173.27.225.118,172.31.0.2,53.0,21897.0,0.010131
365,173.27.225.118,172.31.0.2,53.0,57522.0,0.019711
367,173.27.225.118,172.31.0.2,53.0,22533.0,0.014324
370,173.27.225.118,172.31.0.2,53.0,7751.0,0.000685
372,173.27.225.118,172.31.0.2,53.0,53797.0,0.011947
373,173.27.225.118,172.31.0.2,53.0,62717.0,0.013047
375,173.27.225.118,172.31.0.2,53.0,48228.0,0.000757
377,173.27.225.118,172.31.0.2,53.0,43955.0,0.008226
379,173.27.225.118,172.31.0.2,53.0,15798.0,0.020007
381,173.27.225.118,172.31.0.2,53.0,13425.0,0.019627
383,173.27.225.118,172.31.0.2,53.0,7248.0,0.000402
385,173.27.225.118,172.31.0.2,53.0,27839.0,0.000437
387,173.27.225.118,172.31.0.2,53.0,55258.0,0.000404
389,173.27.225.118,172.31.0.2,53.0,18166.0,0.000365
391,173.27.225.118,172.31.0.2,53.0,31420.0,0.000316
393,173.27.225.118,172.31.0.2,53.0,19170.0,0.002286
395,173.27.225.118,172.31.0.2,53.0,53927.0,0.000393
397,173.27.225.118,172.31.0.2,53.0,12643.0,0.000377
399,173.27.225.118,172.31.0.2,53.0,47382.0,0.000265
401,173.27.225.118,172.31.0.2,53.0,20213.0,0.002755
403,173.27.225.118,172.31.0.2,53.0,50297.0,0.017069
405,173.27.225.118,172.31.0.2,53.0,13594.0,0.001307
407,173.27.225.118,172.31.0.2,53.0,34329.0,0.00028
410,173.27.225.118,172.31.0.2,53.0,34611.0,0.000242
411,173.27.225.118,172.31.0.2,53.0,35048.0,0.002485
413,173.27.225.118,172.31.0.2,53.0,51054.0,0.029055
415,173.27.225.118,172.31.0.2,53.0,24114.0,0.000411
417,173.27.225.118,172.31.0.2,53.0,39980.0,0.000353
419,173.27.225.118,172.31.0.2,53.0,28515.0,0.000363
421,173.27.225.118,172.31.0.2,53.0,64938.0,0.001127
426,173.27.225.118,172.31.0.2,53.0,16155.0,0.000363
427,173.27.225.118,172.31.0.2,53.0,30207.0,0.000237
428,173.27.225.118,172.31.0.2,53.0,33388.0,0.000271
429,173.27.225.118,172.31.0.2,53.0,12657.0,0.001329
431,173.27.225.118,172.31.0.2,53.0,47138.0,0.000366
433,173.27.225.118,172.31.0.2,53.0,11838.0,0.000958
435,173.27.225.118,172.31.0.2,53.0,21846.0,0.000318
437,173.27.225.118,172.31.0.2,53.0,39015.0,0.000361
439,173.27.225.118,172.31.0.2,53.0,13802.0,0.002778
441,173.27.225.118,172.31.0.2,53.0,5223.0,0.002441
443,173.27.225.118,172.31.0.2,53.0,34025.0,0.002429
445,173.27.225.118,172.31.0.2,53.0,7008.0,0.751671
447,173.27.225.118,172.31.0.2,53.0,65227.0,0.000354
449,173.27.225.118,172.31.0.2,53.0,21552.0,0.000946
451,173.27.225.118,172.31.0.2,53.0,35102.0,0.000472
453,173.27.225.118,172.31.0.2,53.0,1484.0,0.000399
455,173.27.225.118,172.31.0.2,53.0,1197.0,0.000408
457,173.27.225.118,172.31.0.2,53.0,18539.0,0.000974
459,173.27.225.118,172.31.0.2,53.0,31554.0,0.000376
461,173.27.225.118,172.31.0.2,53.0,57565.0,0.03318
466,173.27.225.118,172.31.0.2,53.0,17909.0,0.014886
467,173.27.225.118,172.31.0.2,53.0,26769.0,0.028251
468,173.27.225.118,172.31.0.2,53.0,24441.0,0.037244
469,173.27.225.118,172.31.0.2,53.0,54351.0,0.05079
471,173.27.225.118,172.31.0.2,53.0,16410.0,0.037849
473,173.27.225.118,172.31.0.2,53.0,33885.0,0.029568
475,173.27.225.118,172.31.0.2,53.0,39055.0,0.040211
477,173.27.225.118,172.31.0.2,53.0,59900.0,0.076989
479,173.27.225.118,172.31.0.2,53.0,38579.0,0.017332
481,173.27.225.118,172.31.0.2,53.0,29649.0,0.025026
483,173.27.225.118,172.31.0.2,53.0,31662.0,0.012393
485,173.27.225.118,172.31.0.2,53.0,13268.0,0.012406
487,173.27.225.118,172.31.0.2,53.0,24096.0,0.018171
489,173.27.225.118,172.31.0.2,53.0,18800.0,0.029828
491,173.27.225.118,172.31.0.2,53.0,12146.0,0.012353
